pl_name,sy_snum,sy_pnum,cb_flag,disc_year,disc_locale,disc_facility,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,pl_controv_flag,pl_orbper,pl_rade,pl_dens,ttv_flag,st_teff,st_rad,st_mass,st_lum,st_logg
WASP-46 b,1,1,0,2011,Ground,SuperWASP,1,0,0,1,0,0,0,0,0,0,1.43036763,13.159,1.467,0,5600,0.86,0.83,-0.111,4.49
Kepler-681 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,26.39435646,3.08,1.82,0,5021,0.76,0.8,-0.457,4.58
HD 52265 b,1,1,0,2000,Ground,W. M. Keck Observatory,1,0,0,0,0,0,0,0,0,0,119.27,13.7,0.822,0,6136,1.32,1.2,0.297,4.36
Kepler-466 b,1,2,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,51.07926307,2.85,2.02,0,5927,1.05,1.04,-0.067,4.42
Kepler-340 c,1,2,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,22.824669,3.37,1.62,0,6620,1.85,1.65,0.867,4.06
Kepler-1746 b,1,1,0,2021,Space,Kepler,0,0,0,1,0,0,0,0,0,0,321.2120056,8.935,0.455,0,6018,1.29,1.09,0.496,4.26
HD 156846 b,2,1,0,2007,Ground,La Silla Observatory,1,0,0,0,0,0,0,0,0,0,359.51001,12.4,9.77,0,6090,1.9,1.38,0.697,4.02
CoRoT-30 b,1,1,0,2020,Space,CoRoT,1,0,0,1,0,0,0,0,0,0,9.06005,11.31,3.45,0,5650,0.91,0.98,-0.197,4.4
XO-4 b,1,1,0,2008,Ground,XO,1,0,0,1,0,0,0,0,0,0,4.12508,14.011,0.83,0,6397,1.45,1.1,0.536,4.18
Kepler-102 d,1,5,0,2014,Space,Kepler,1,0,0,1,0,0,0,0,0,0,10.3117,1.18,13.27,0,4903,0.74,0.8,-0.584,4.61
Kepler-384 b,1,2,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,22.597053,1.12,5.71,0,5577,0.88,0.97,0.396,4.47
Kepler-1583 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,9.32807355,0.6,3.97,0,5645,0.91,0.94,-0.018,4.49
HD 215152 b,1,4,0,2018,Ground,La Silla Observatory,1,0,0,0,0,0,0,0,0,0,5.75999,1.19,5.93,0,4935,0.73,0.77,-0.523,4.4
TOI-674 b,1,1,0,2021,Space,Transiting Exoplanet Survey Satellite (TESS),1,0,0,1,0,0,0,0,0,0,1.977143,5.25,0.91,0,3514,0.42,0.42,-1.614,4.81
Kepler-1963 b,1,1,0,2021,Space,Kepler,0,0,0,1,0,0,0,0,0,0,1.96226001,0.744,4.49,0,5726,0.98,0.92,-0.259,4.42
Kepler-65 b,1,4,0,2012,Space,Kepler,1,0,0,1,0,0,0,0,0,0,2.15491,1.42,4.4,0,6211,1.41,1.25,0.467,4.23
Kepler-487 d,1,3,0,2021,Space,Kepler,0,0,0,1,0,0,0,0,0,0,2.41839004,2.775,2.09,0,5422,0.89,0.87,-0.173,4.48
TOI-700 c,1,3,0,2020,Space,Transiting Exoplanet Survey Satellite (TESS),0,0,0,1,0,0,0,0,0,0,16.05111,2.65,2.22,0,3461,0.42,0.41,-1.635,4.8
Kepler-563 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,22.18432708,3.09,1.82,0,5066,0.77,0.8,-0.444,4.58
HD 185269 b,3,1,0,2006,Ground,Lick Observatory,1,0,0,0,0,0,0,0,0,0,6.83776,13.8,0.671,0,5923,2,1.3,0.694,3.92
Kepler-782 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,158.6853308,3.21,1.73,0,5867,1.01,0.98,0.11,4.42
Kepler-818 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,10.03538581,5.11,0.943,0,5638,0.92,0.94,-0.124,4.49
K2-187 b,1,4,0,2018,Space,K2,0,0,0,1,0,0,0,0,0,0,0.77392,1.3,5.6,0,5484,0.92,0.98,-0.21,4.5
WASP-107 b,1,2,0,2017,Ground,SuperWASP-South,1,0,0,1,0,0,0,0,0,0,5.7214742,10.536,0.134,0,4425,0.67,0.68,-0.879,4.63
Kepler-381 b,1,3,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,5.629021,0.99,5.31,0,6152,1.57,1.2,0.514,4.12
GJ 3138 c,1,3,0,2017,Ground,La Silla Observatory,1,0,0,0,0,0,0,0,0,0,5.974,1.88,3.46,0,3717,0.5,0.68,-1.347,4.63
Kepler-667 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,41.43962808,4.73,1.04,0,5327,0.87,0.91,0.557,4.53
Kepler-444 c,3,5,0,2015,Space,Kepler,0,0,0,1,0,0,0,0,0,0,4.5458841,0.497,3.55,0,5046,0.75,0.76,-0.425,4.56
K2-165 c,1,3,0,2018,Space,K2,0,0,0,1,0,0,0,0,0,0,4.382745,1.554,4.44,0,5185,0.8,0.83,-0.37,4.46
Kepler-1394 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,3.93766373,1.39,5.14,0,6481,2.55,1.64,0.811,3.84
Kepler-800 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,14.13176026,2.85,2.02,0,5315,0.82,0.85,-0.358,4.55
HD 62509 b,1,1,0,2006,Ground,Multiple Observatories,1,0,0,0,0,0,0,0,0,0,589.64,13.3,1.71,0,4892.63,8.9,2,1.612,2.78
K2-42 b,1,1,0,2016,Space,K2,0,0,0,1,0,0,0,0,0,0,6.68796,2.15,2.91,0,4613,0.64,0.7,-0.703,4.66
Kepler-585 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,2.75235975,2.83,2.04,0,5593,0.93,0.96,-0.163,4.49
Kepler-1311 b,1,3,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,11.1726994,1.24,5.97,0,5748,1.4,1.05,0.472,4.16
WASP-157 b,1,1,0,2016,Ground,SuperWASP,1,0,0,1,0,0,0,0,0,0,3.951623,11.19,0.64,0,5772,1.1,1.06,0.079,4.38
Kepler-379 c,1,2,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,62.784697,2.29,2.68,0,6054,1.31,1.15,0.28,4.27
Kepler-199 c,1,2,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,67.093408,3.25,1.7,1,5644,0.97,0.96,-0.097,4.44
Kepler-825 c,1,2,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,8.1818246,1.84,3.56,0,5976,1.08,1.03,0.12,4.39
Kepler-256 c,1,4,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,3.38802,2.15,2.91,0,5551,1.3,0.97,-0.059,4.22
K2-146 b,1,2,0,2018,Space,K2,0,0,0,1,0,0,0,0,0,0,2.6446,2.05,3.69,1,3385,0.33,0.33,-1.824,4.9
